name,playable,status,for_sale,expansion,price,price_text,rating,bgg_link,players,age,time,category,play_style,blurb,pick_by,pick_note,rec_list,rec_note,notes,rules_link
Tzaar,yes,,,,,2,13+,30 mins,Abstract Strategy,competitive,7.7,https://boardgamegeek.com/boardgame/31999,chess-weight abstract from the GIPF project,,,,,,,
Tzolkin: The Mayan Calendar,yes,,,,,2-4,13+,90 mins,"Strategy, Worker Placement",competitive,7.8,https://boardgamegeek.com/boardgame/126163,"worker placement on literal turning gears, Orleans' crunchier cousin",,,,,,,
Ultimate Werewolf,yes,,,,,5-30,8+,30-90 mins,"Party, Deduction",teams,6.5,https://boardgamegeek.com/boardgame/152241,the big-group social deduction original,,,,,,,
Undaunted: Battle of Britain,yes,,,,,2,14+,45-60 mins,"Deck Building, Strategy",competitive,7.9,https://boardgamegeek.com/boardgame/366495,"Undaunted's dogfighting chapter, deck-built WWII duels",,,,,,,
Undaunted: Normandy,yes,,,,,2,14+,45-60 mins,"Deck Building, Strategy",competitive,7.8,https://boardgamegeek.com/boardgame/268864,a deck-built WWII skirmish. Memoir '44 meets Dominion,,,,,,,
Unfair,yes,,,,,2-5,14+,50-125 mins,"Family, Card Game",competitive,7.3,https://boardgamegeek.com/boardgame/179172,"build a theme park, sabotage your rivals. Machi Koro with malice",,,,,,,
Unlock!,yes,,yes,,~$50,1-6,10+,60 mins,"Cooperative, Puzzle",co-op,7.4,https://boardgamegeek.com/boardgamefamily/39442,EXIT with an app. Nothing gets destroyed,Jehan,Replayable co-op puzzles,,,,,
Uno,yes,,,,,2-10,7+,30 mins,"Family, Card Game",competitive,5.5,https://boardgamegeek.com/boardgame/2223,"the colour-matching classic, Crazy Eights perfected",,,,,,,
Uno - Flip,yes,,,,,2-10,7+,30 mins,"Family, Card Game",competitive,6.3,https://boardgamegeek.com/boardgame/271460,Uno with a dark side. Flip the whole deck,,,,,,,
Uno All Wild,yes,,,,,2-10,7+,20 mins,"Family, Card Game",competitive,4.5,https://boardgamegeek.com/boardgame/352997,Uno where every card is wild,,,,,,,
Uno Show em No Mercy,yes,,,,,2-10,7+,30 mins,"Family, Card Game",competitive,6.1,https://boardgamegeek.com/boardgame/399088,Uno's brutal no-mercy variant,,,,,,,
Upwords,yes,,,,,2-4,8+,30 mins,"Family, Word",competitive,5.8,https://boardgamegeek.com/boardgame/1515,"Scrabble in 3D. Stack letters, change words",,,,,,,
Viticulture,yes,,yes,,~$95,1-6,13+,90 mins,"Strategy, Economic",competitive,8.1,https://boardgamegeek.com/boardgame/128621,Lords of Waterdeep charm with Agricola-lite farming,,,,,,,
Wandering Towers,no,,yes,,~$60,2-6,8+,30 mins,"Family, Racing",competitive,7.3,https://boardgamegeek.com/boardgame/355483,Labyrinth with memory and stacking chaos,,,,,,,
Wavelength,yes,,yes,,~$60,2-12,14+,30-45 mins,"Party, Deduction",competitive,7.2,https://boardgamegeek.com/boardgame/262543,Hues and Cues for concepts instead of colours,Jehan,Best big-group conversation game,,,,,
We Forlorn Few,yes,,yes,,~$60?,1-4,12+,~45 mins,"Adventure, Survival",competitive,,https://boardgamegeek.com/boardgame/427584,"pioneers heading west, Oregon Trail with combat and betrayal",,,,,,,
Werewolves of Millers Hollow,yes,,,,,8-18,10+,30 mins,"Party, Deduction",teams,6.7,https://boardgamegeek.com/boardgame/25821,"classic village Werewolf, moderator and all",,,,,,,
What Next,yes,,,,,1-4,10+,45-90 mins,"Cooperative, Adventure",co-op,6.4,https://boardgamegeek.com/boardgame/342443,a co-op choose-your-path adventure with dexterity minigames,,,,,,,
Wingspan,yes,,,,,1-5,10+,40-70 mins,"Strategy, Family",competitive,8,https://boardgamegeek.com/boardgame/266192,"Everdell's feathered rival, the engine-builder that made birds cool",,,,,,,
Wizard,yes,,,,,3-6,10+,45 mins,"Family, Card Game",competitive,7,https://boardgamegeek.com/boardgame/1465,"trick-taking with exact bids, 500's sharper cousin",,,,,,,
Wyrmspan,yes,,yes,,~$110,1-5,14+,90 mins,"Strategy, Card Game",competitive,7.9,https://boardgamegeek.com/boardgame/410201,"Wingspan with dragons, a notch crunchier",,,,,,,
Xi'an,yes,,,,,2-4,14+,60-90 mins,"Worker Placement, Strategy",competitive,7.1,https://boardgamegeek.com/boardgame/234828,"a terracotta-army euro, dice placement in ancient China",,,,,,,
Yum Cha,yes,,,,,2-4,8+,60-120 mins,"Family, Card Game",competitive,6.4,https://boardgamegeek.com/boardgame/363991,"matching dim sum sets. Mahjong, but breezier",,,,,,,
